Color_Mean_R,Color_Mean_G,Color_Mean_B,Color_Mean_H,Color_Mean_S,Color_Mean_V,Texture_Contrast,Texture_Dissimilarity,Texture_Homogeneity,Texture_Energy,Texture_LBP_Mean,Texture_LBP_Std,Size_Area,Size_Perimeter,Shape_MajorAxisLength,Shape_MinorAxisLength,Shape_ConvexArea,Shape_Eccentricity,Shape_Extent,Shape_Roundness,Shape_AspectRatio,Shape_EquivDiameter,Shape_Solidity,Name,Class,Image_Path
158.71595496296297,140.9932397037037,121.45777540740741,17.930663703703704,74.00223881481482,158.73859022222223,0.0877665301976723,0.08515636640322492,0.9576828331778322,0.7272370378458021,20.31241786834405,7.2290254688541795,248297.5,18630.571747779846,1076.9200439453125,551.997802734375,561085.0,0.858644945458792,0.3478199050804911,0.00898938218295295,1.9509498744572604,562.2652362176404,0.44253098906582783,Basmati rice,0,data/images/Basmati rice/WhatsApp Image 2026-01-21 at 10.49.10 AM.jpeg
167.796696,146.400012,112.838552,18.98606,82.58154,167.837532,0.04223980425781423,0.04223980425781423,0.978880097871093,0.6956535373279177,21.968135117886582,4.955325346743384,175765.5,5453.573049545288,479.9972839355469,341.0499572753906,225775.0,0.7036721954139293,0.703062,0.07426449434503508,1.4074104795971554,473.06615309082116,0.7784985051489315,Basmati rice,0,data/images/Basmati rice/WhatsApp Image 2026-01-21 at 10.49.10 AM (1).jpeg
176.15830234375,165.348496484375,145.53979375,25.793467578125,49.3545015625,176.432113671875,0.008664041266801757,0.008664041266801757,0.995667979366599,0.90986313854145,22.976604944899414,3.5056329435269644,493279.0,19836.85898208618,1177.8165283203125,909.555419921875,1029194.0,0.635332591129361,0.3663035406641716,0.015752760820220334,1.2949365179105627,792.5038355663753,0.4792867039644615,Basmati rice,0,data/images/Basmati rice/WhatsApp Image 2026-01-21 at 10.49.09 AM.jpeg
158.89900703125,147.1649078125,127.684283984375,38.30209140625,64.32138515625,160.83749921875,0.02324918612897523,0.02324918612897523,0.9883754069355124,0.7576748535169071,23.0890594492247,3.4007354610541083,1152610.0,19715.53516602516,1391.59375,1270.474609375,1683774.0,0.40804073631389326,0.5841545771301869,0.03726276750122121,1.0953337750563812,1211.424216225347,0.6845396116105843,Basmati rice,0,data/images/Basmati rice/WhatsApp Image 2026-01-21 at 10.49.08 AM.jpeg
154.62388717421126,131.48902263374487,105.73624657064472,16.713255315500685,91.08246484910836,154.65303583676268,0.07087492695527244,0.07040049848721978,0.9648471936031954,0.6879701108847447,21.032659627755255,6.395273707340147,215591.5,17369.65170133114,987.9246826171875,463.63446044921875,474288.0,0.8830380361818804,0.4049122905867328,0.008979647285294117,2.1308266897589543,523.9271164091155,0.4545582009243329,Basmati rice,0,data/images/Basmati rice/WhatsApp Image 2026-01-21 at 10.49.09 AM (1).jpeg
160.91406510416667,157.57187083333332,149.43486979166667,62.655253125,30.301117708333333,164.058625,0.01782406761754071,0.01782406761754071,0.9910879661912297,0.7343381117415727,22.622586803223115,3.9789514856389383,637798.5,17917.486944556236,1281.6876220703125,1175.3800048828125,1425745.0,0.3987572174056749,0.33218671875,0.024965436523537384,1.0904453170428903,901.149417007396,0.4473440201438546,Colam rice,1,data/images/Colam rice/WhatsApp Image 2026-01-21 at 10.52.14 AM (2).jpeg
206.108264,183.220516,160.281184,23.064852,70.78602,207.511544,0.01081904289541006,0.01081904289541006,0.994590478552295,0.9071851637926598,22.902678453185008,3.667860278656089,26522.5,2238.0499786138535,329.54779052734375,120.55415344238281,43109.5,0.9306868380644072,0.5401291137178234,0.0665403009483825,2.7336079356639216,183.76478396373543,0.615235620918823,Colam rice,1,data/images/Colam rice/WhatsApp Image 2026-01-21 at 10.52.15 AM.jpeg
197.821996,195.427136,190.551548,41.725096,12.826564,198.939504,0.0,0.0,1.0,1.0,24.0,0.0,16100.0,2542.9931906461716,243.5374755859375,148.6666717529297,33319.5,0.7920572636334509,0.32710280373831774,0.031285661747546156,1.6381443985688624,143.17526556719258,0.48320052821921095,Colam rice,1,data/images/Colam rice/WhatsApp Image 2026-01-21 at 10.52.14 AM (1).jpeg
193.274987,155.536794,122.345364,14.393873,107.367705,193.275037,0.028567156746335927,0.028567156746335927,0.9857164216268319,0.7827161594083695,22.801303303646304,4.278426140024541,167375.5,9502.274287104607,812.0191650390625,524.2770385742188,342958.5,0.7636367352326352,0.3513929711118576,0.02329413707171141,1.5488360261730398,461.63741769902083,0.4880342665366218,Colam rice,1,data/images/Colam rice/WhatsApp Image 2026-01-21 at 10.52.14 AM.jpeg
157.522408,159.338992,142.3613,35.470764,33.887748,160.018672,0.09105990337388205,0.09105990337388205,0.954470048313059,0.7961509075193456,21.884421898564632,6.685472287590652,91503.5,9674.90763092041,524.0839233398438,502.6156311035156,248813.5,0.28328240342530797,0.366014,0.012284399039317816,1.0427131408332715,341.329569011643,0.36775938604617514,Colam rice,1,data/images/Colam rice/WhatsApp Image 2026-01-21 at 10.52.14 AM (3).jpeg
109.49819375,96.347372265625,83.4190875,37.263058203125,65.07297890625,109.89997890625,0.0,0.0,1.0,1.0,24.0,0.0,1229159.5,17430.632368803024,1242.7611083984375,1131.5126953125,1434648.5,0.4135467946063199,0.6632718640863037,0.05083839365376143,1.0983183074717628,1251.0053885523037,0.8567670059948482,Indrayani rice,2,data/images/Indrayani rice/WhatsApp Image 2026-01-21 at 10.55.19 AM.jpeg
